Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler
"Liakroken 14, 5132 Nyborg",2590000,108831,15376,2714207,5886,Leilighet,Andel,3,91 m²,91 m²,3,1978,,"NYBORG | Romslig 4-roms topp- og hjørneleilighet | Garasjeplass | Fine solforhold | Nær butikk, buss, skole og barnehage",Aktiv Arna & Åsane As
"Roselundveien 67A, 1820 Spydeberg",2890000,88814,2978814,2624,0,Leilighet,Eier (Selveier),2,56 m²,59 m²,3,2018,,Pen og moderne leilighet med 2 soverom beliggende i 3. etg. Heis og garasje.,Aktiv Askim
"Korporal Nerdrums vei 3 F, 1960 Løken",2200000,739,66542,2267281,2000,Leilighet,Eier (Selveier),2,66 m²,69 m²,2,2007,,"Bo solrikt og skjermet i Løken sentrum, i en trivelig 3-roms selveier, med vestvendt balkong, ildsted og rekkegarasje.",Aktiv Bjørkelangen
"Hekkveien 1, 0571 Oslo",5400000,442228,19520,5861748,5506,Leilighet,Aksje,3,72 m²,72 m²,1,1955,G - mørkegrønn,"Lekker 4-roms m/sydvendt balkong på ca. 5,5 m². Akonto brensel inkl. i felleskostn. Mulighet for garasje/parkering*",Aktiv Carl Berner
"Christian Michelsens gate 22, 0568 Oslo",4500000,177268,19520,4696788,3683,Leilighet,Aksje,1,56 m²,56 m²,4,1933,G - oransje,"Påkostet & flott 2-roms med gjennomtenkte løsninger og et sjarmerende preg - Originale tregulv, vedovn & solrik balkong",Aktiv Carl Berner
"Olaf Schous vei 23, 0572 Oslo",3910000,80845,111292,4102137,3689,Leilighet,Eier (Selveier),1,51 m²,51 m²,5,1937,G - mørkegrønn,"Innbydende og romslig toppleilighet- Separat kjøkken - Soverom med herlig balkong på 8,5 m²! Bad fra 2015/16 -Parkering*",Aktiv Carl Berner
"Bjørnsons vei 6B, 3117 Tønsberg",2280000,143075,72112,2495187,2790,Leilighet,Eier (Selveier),1,50 m²,53 m²,1,1978,E - rød,Stilfull og nyoppusset 2-roms selveierleilighet med balkong og fast garasjeplass! Sentralt og rolig - flytt rett inn!,Aktiv Eiendomsmegling Tønsberg og Re
"St. Hanshaugen 13 B, 2413 Elverum",1000000,1017797,8032,2025829,8564,Leilighet,Andel,1,72 m²,77 m²,2006.0,C - rød,,Strøken og funksjonell andelsleilighet med egen uteplass. Garasje og heis i bygget. Nær bymarka og sentrumsfasiliteter.,Aktiv Elverum
"Odins gate 14 A, 0266 Oslo",3750000,102589,107842,3960431,2257,Leilighet,Eier (Selveier),1,35 m²,35 m²,1,1898,,"Innbydende, klassisk og gjennomgående 2-roms. Stukkatur, god takhøyde og peisovn. Meget sentral beliggenhet!",Aktiv Frogner
"Trondheimsveien 24 C, 0560 Oslo",4900000,127273,8032,5035305,3629,Leilighet,Andel,2,66 m²,66 m²,3,1895,G - oransje,Klassisk og herskapelig 3-roms- Rosett og stukkatur - Modernisert i 2021 - Peisovn- Sjelden sjanse!,Aktiv Grønland/Bjørvika
