Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,sentrum,toppleilighet,By,Alder,simp_megler,Energimerking_encoded,Aksje,Andel,Selveier
"Liakroken 14, 5132 Nyborg",2590000,108831,15376,2590000,5886.0,Andel,3,91.0,91.0,3,1978,F - oransje,"NYBORG | Romslig 4-roms topp- og hjørneleilighet | Garasjeplass | Fine solforhold | Nær butikk, buss, skole og barnehage",Aktiv Arna & Åsane As,0,0,1,0,0,0,0,Nyborg,43,Aktive,7.0,0,1,0
"Roselundveien 67A, 1820 Spydeberg",2890000,88814,0,2978814,370.05833333333334,Selveier,2,56.0,59.0,3,2018,D - oransje,Pen og moderne leilighet med 2 soverom beliggende i 3. etg. Heis og garasje.,Aktiv Askim,0,0,1,1,0,0,0,Spydeberg,3,Aktive,16.0,0,0,1
"Korporal Nerdrums vei 3 F, 1960 Løken",2200000,739,66542,2200000,2000.0,Selveier,2,66.0,69.0,2,2007,E - oransje,"Bo solrikt og skjermet i Løken sentrum, i en trivelig 3-roms selveier, med vestvendt balkong, ildsted og rekkegarasje.",Aktiv Bjørkelangen,1,0,1,0,0,1,0,Løken,14,Aktive,11.0,0,0,1
"Hekkveien 1, 0571 Oslo",5400000,442228,19520,5400000,5506.0,Aksje,3,72.0,72.0,1,1955,G - mørkegrønn,"Lekker 4-roms m/sydvendt balkong på ca. 5,5 m². Akonto brensel inkl. i felleskostn. Mulighet for garasje/parkering*",Aktiv Carl Berner,1,0,1,0,1,0,0,Oslo,66,Aktive,3.0,1,0,0
"Christian Michelsens gate 22, 0568 Oslo",4500000,177268,19520,4500000,3683.0,Aksje,1,56.0,56.0,4,1933,G - oransje,"Påkostet & flott 2-roms med gjennomtenkte løsninger og et sjarmerende preg - Originale tregulv, vedovn & solrik balkong",Aktiv Carl Berner,1,0,0,0,0,0,0,Oslo,88,Aktive,2.0,1,0,0
"Olaf Schous vei 23, 0572 Oslo",3910000,80845,111292,3910000,3689.0,Selveier,1,51.0,51.0,5,1937,G - mørkegrønn,"Innbydende og romslig toppleilighet- Separat kjøkken - Soverom med herlig balkong på 8,5 m²! Bad fra 2015/16 -Parkering*",Aktiv Carl Berner,1,0,0,0,1,0,1,Oslo,84,Aktive,3.0,0,0,1
"Bjørnsons vei 6B, 3117 Tønsberg",2280000,143075,72112,2280000,2790.0,Selveier,1,50.0,53.0,1,1978,E - rød,Stilfull og nyoppusset 2-roms selveierleilighet med balkong og fast garasjeplass! Sentralt og rolig - flytt rett inn!,Aktiv Eiendomsmegling Tønsberg og Re,1,0,1,0,0,1,0,Tønsberg,43,Aktive,10.0,0,0,1
"St. Hanshaugen 13 B, 2413 Elverum",1000000,1017797,8032,1000000,8564.0,Andel,1,72.0,77.0,0,2006,C - rød,Strøken og funksjonell andelsleilighet med egen uteplass. Garasje og heis i bygget. Nær bymarka og sentrumsfasiliteter.,Aktiv Elverum,0,0,1,1,0,1,0,Elverum,15,Aktive,20.0,0,1,0
"Odins gate 14 A, 0266 Oslo",3750000,102589,107842,3750000,2257.0,Selveier,1,35.0,35.0,1,1898,E - lysegrønn,"Innbydende, klassisk og gjennomgående 2-roms. Stukkatur, god takhøyde og peisovn. Meget sentral beliggenhet!",Aktiv Frogner,0,0,0,0,0,0,0,Oslo,123,Aktive,13.0,0,0,1
"Trondheimsveien 24 C, 0560 Oslo",4900000,127273,8032,4900000,3629.0,Andel,2,66.0,66.0,3,1895,G - oransje,Klassisk og herskapelig 3-roms- Rosett og stukkatur - Modernisert i 2021 - Peisovn- Sjelden sjanse!,Aktiv Grønland/Bjørvika,0,0,0,0,0,0,0,Oslo,126,Aktive,2.0,0,1,0
"Plogveien 23, 0679 Oslo",3200000,262973,15526,3200000,3190.0,Andel,1,52.0,52.0,3,1958,F - rød,"Gjennomgående 2-roms med vestvendt, solrik balkong - Hyggelig boområde - Kort vei til marka og offentlig transport",Aktiv Grønland/Bjørvika,1,0,0,0,0,0,0,Oslo,63,Aktive,6.0,0,1,0
"Enebakkveien 25B, 0657 Oslo",3790000,80000,8032,3790000,3972.0,Andel,1,52.0,52.0,4,1935,F - mørkegrønn,"Lys, romslig og svært innbydende 2-roms leilighet i 4. etg. Originale, nyslipte tregulv. Utsikt. Mulighet for parkering*",Aktiv Grønland/Bjørvika,0,1,0,0,1,0,0,Oslo,86,Aktive,8.0,0,1,0
"Sørlihagen, 0651 Oslo",5950000,1132,0,5951132,4.716666666666667,Andel,2,61.9,65.5,2,2021,F - rød,"Splitter ny 3-roms med balkong. Beliggenhet i lukket bakgård. Est. ferdig 2022, Q1.",Aktiv Grønland/Bjørvika,1,0,0,0,0,0,0,Oslo,0,Aktive,6.0,0,1,0
"Tuenveien 2 A, 2000 Lillestrøm",1750000,314698,15526,1750000,4570.0,Andel,1,29.0,29.0,1,2004,G - rød,Lys og tiltalende 2-roms endeleilighet med terrasse. P-plass. Perfekt for deg mellom 18-35!,Aktiv Grünerløkka,0,0,0,0,0,0,0,Lillestrøm,17,Aktive,1.0,0,1,0
"Hesselbergs gate 8 C, 0555 Oslo",4000000,259032,8032,4000000,3855.0,Andel,1,50.0,50.0,4,1898,G - rød,Innbydende 2-roms toppleilighet i indre gård. Meget stille & rolig beliggenhet. Flott bakgård - ingen dok.avgift,Aktiv Grünerløkka,0,0,0,0,0,0,1,Oslo,123,Aktive,1.0,0,1,0
"Birch-Reichenwalds gate 27 B, 0483 Oslo",4700000,91751,15981,4700000,3742.0,Andel,1,58.0,58.0,5,1953,F - lysegrønn,"Moderne, lys og gjennomgående 2(3)-roms topp- og endeleilighet. Balkong på 6m². 5. etasje. Fantastisk utsikt!",Aktiv Grünerløkka,1,1,0,0,0,0,0,Oslo,68,Aktive,9.0,0,1,0
"Rosenlundgata 6 A, 0474 Oslo",3700000,69599,19520,3700000,2907.0,Aksje,1,43.0,43.0,1,1932,D - rød,Attraktiv og lys 2-roms med åpen stue- og kjøkkenløsning. Sentral beliggenhet. Perfekt førsteganskjøp. Varmtvann inkl.,Aktiv Grünerløkka,0,0,0,0,0,0,0,Oslo,89,Aktive,15.0,1,0,0
