Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,hage,sentrum,toppleilighet,Alder,Energimerking_encoded,Aksje,Andel,Selveier
"St. Halvards gate 25E, 0192 Oslo",3850000.0,0.0,76000.0,3926000.0,3964.0,Leilighet,Selveier,1,48.0,48,2,1940,E - gul,Lys og lekker leilighet med solrik balkong. God planløsning med sentral beliggenhet. Parkering. Heis.,Aktiv,1,0,0,1,1,0,0,0,81,14.0,0,0,1
"Selvbyggerveien 143, 0591 Oslo",3200000.0,73058.0,8009.0,3281067.0,3281067.0,Leilighet,Andel,1,35.0,37,1,1953,G - rød,Romslig og attraktiv 2-roms | Hyggelig utsikt | Varmtvann & fyring inkl i felleskostnader | Garasjeplass*,Schala & Partners,0,1,1,0,0,0,0,0,68,1.0,0,1,0
"Gregers Grams vei 6C, 0382 Oslo",18250000.0,0.0,471920.0,18721920.0,2167.0,Enebolig,Selveier,4,208.0,242,1,2016,B - gul,"Tiltalende og moderne kjedet enebolig m/ takterrasse og hage/markterrasse. Solrikt, praktikantdel og garasje.",PrivatMegleren,0,0,1,0,0,1,0,0,5,29.0,0,0,1
"Brochmanns gate 7, 0470 Oslo",4600000.0,101699.0,127039.0,4828738.0,4828738.0,Leilighet,Selveier,2,54.0,54,4,1958,F - rød,"Lys og pen 3-R selveier med nydelig balkong I God standard fra 2017 I Heis I Lave felleskost. inkl. ""alt""",Schala & Partners,1,0,0,1,0,0,0,0,63,6.0,0,0,1
"Messepromenaden 10, 0279 Oslo",7700000.0,0.0,193842.0,7893842.0,3237.0,Leilighet,Selveier,2,65.0,72,5,2005,C - mørkegrønn,Herlig selveier midt i hjertet av Skøyen. 5. etasje - Balkong - Heis - V.v. & f. inkl - Garasje - Godt med lagring.,Ukjent,1,0,1,1,0,0,0,0,16,22.0,0,0,1
"Kantarellen terrasse 15, 1286 Oslo",2590000.0,216310.0,8658.0,2814968.0,2814968.0,Leilighet,Andel,1,59.0,59,2,1990,F - mørkegrønn,Stilig 2-roms med bad fra 2019 og garasjeplass! | Stor terrasse på ca 25 kvm| Varmtvann&fyring (A-konto) | IN-ordning,Eiendomsmegler 1,0,0,1,0,0,0,0,0,31,8.0,0,1,0
"Langes gate 7, 0165 Oslo",6500000.0,0.0,174070.0,6674070.0,2348.0,Leilighet,Selveier,2,82.0,85,2,1869,G - rød,"Klassisk, gjennomgående og sentrumsnær 3-roms leilighet med peis, stukkatur og rosett. Generøs takhøyde",PrivatMegleren,0,0,0,0,0,0,1,0,152,1.0,0,0,1
"Toftes gate 61A, 0552 Oslo",4800000.0,18202.0,122042.0,4940244.0,4940244.0,Leilighet,Selveier,1,58.0,58,3,1991,E - mørkegrønn,"Lys, hyggelig 2-roms selveier med sentral beligg | Vestvendt balkong og soverom mot bakgård |Park som nærmeste nabo",Krogsveen,1,0,0,0,0,0,0,0,30,12.0,0,0,1
"Ole Messelts vei 3, 0676 Oslo",4300000.0,0.0,120297.0,4420297.0,2786.0,Leilighet,Selveier,2,59.0,60,3,2018,C - mørkegrønn,"Rålekker og stilren 3-roms hjørneleilighet - ""ny"" 2018 med solrik sydv.vendt balkong på 7 m² - Garasjeplass - Heis",Aktiv,1,0,1,1,0,0,0,0,3,22.0,0,0,1
"Ensjøveien 29B, 0661 Oslo",3800000.0,184492.0,12620.0,3997112.0,3997112.0,Leilighet,Aksje,1,46.0,46,4,1946,F - mørkegrønn,Pen og lys leilighet i 4. etg | Nydelig balkong | Oppvarming inkl. | Kjøkken fra 2017 | Flott beliggenhet,Eiendomsmegler 1,1,0,0,0,0,0,0,0,75,8.0,1,0,0
"Inkognito Terrasse 3, 0256 Oslo",12900000.0,0.0,323842.0,13223842.0,4700.0,Leilighet,Selveier,4,148.0,150,4,1892,G - oransje,Unik 5-roms toppleilighet med svært attraktiv beliggenhet og nærhet til alt | 2 takterrasser | 2 delikate bad | Peis,Krogsveen,0,0,0,0,0,0,0,1,129,2.0,0,0,1
"Torggata 27, 0183 Oslo",6500000.0,0.0,172142.0,6672142.0,2784.0,Leilighet,Selveier,5,84.0,84,4,1880,F - gul,Lekker og tiltalende 5(6)-roms hjørneleilighet i 4. etasje. Svært gode utleiemuligheter med hele 5 soverom!,Nordvik,0,0,0,0,0,0,0,0,141,10.0,0,0,1
"Folke Bernadottes vei 4, 0862 Oslo",9750000.0,459.0,245092.0,9995551.0,9995551.0,Leilighet,Selveier,3,91.0,91,2,2019,B - gul,"Innholdsrik og arealeffektiv 4-roms selveier i 2.etg i nybygg (2019) v/markagrensen. Heis, garasje og 20 kvm terrasse !",Ukjent,0,0,1,1,0,0,0,0,2,29.0,0,0,1
"Blindernveien 4, 0361 Oslo",5700000.0,127000.0,143312.0,5970312.0,5970312.0,Leilighet,Selveier,2,66.0,66,10,1959,F - mørkegrønn,"Romslig og lys 3-roms hjørneleil. m/solrik balkong og formidabel utsikt! 10.etg. Heis. P-plasser. ""Alt"" inkl. Oppussing.",Krogsveen,1,1,0,1,0,0,0,0,62,8.0,0,0,1
"Ullernchausséen 46A, 0379 Oslo",1995000.0,48000.0,8626.0,2051626.0,2051626.0,Leilighet,Andel,0,17.0,17,1,1957,D - lysegrønn,Perfekt førstegangsbolig på Smestad - innholdsrik studioleilighet med V.vann & fyring inkl. Parkeringsmulighet,Ukjent,0,0,0,0,1,0,0,0,64,18.0,0,1,0
"Oskar Braatens gate 2, 0474 Oslo",4550000.0,424255.0,8010.0,4982265.0,4982265.0,Leilighet,Andel,2,69.0,69,2,2002,D - rød,Innbydende 3(4)-roms leilighet - *Garasjeleie - IN-ordning - Begge soverom vendt mot bilfritt gårdsrom.,EIE eiendomsmegling,0,0,1,0,0,0,0,0,19,15.0,0,1,0
"Bertrand Narvesens vei 9, 0661 Oslo",3750000.0,61000.0,95092.0,3906092.0,3906092.0,Leilighet,Selveier,1,42.0,42,3,2008,D - mørkegrønn,Lys og pen 2- roms selveier| Garasjeplass med El-bil lader| Fransk balkong | Heis til etasjeplan | Kort vei til T-bane!,Ukjent,1,0,1,1,0,0,0,0,13,17.0,0,0,1
"Hoff Terrasse 2, 0275 Oslo",7500000.0,56083.0,197920.0,7754003.0,7754003.0,Leilighet,Selveier,3,100.0,100,4,1952,G - mørkegrønn,Skøyen/Hoff | 4 (5) -roms toppleilighet med sørvestvendt balkong | Garasje | Tilbaketrukket bel | Fyring & V.v. inkl,EIE eiendomsmegling,1,0,1,0,0,0,0,1,69,3.0,0,0,1
"Raukveien 1, 0680 Oslo",3800000.0,110000.0,15504.0,3925504.0,3925504.0,Leilighet,Andel,2,56.0,58,10,1960,C - gul,"Lys & lekker 3-roms | Gode solforhold & utsikt | Sydvendt, usjenert balkong | Heis | Parkering | Varmtvann & fyring inkl",EIE eiendomsmegling,1,1,0,1,1,0,0,0,61,24.0,0,1,0
"Rugveien 71, 0679 Oslo",3800000.0,184000.0,8656.0,3992656.0,3992656.0,Leilighet,Andel,2,69.0,69,1,1961,G - oransje,Gjennomgående 3(4)-roms m/balkong og vedovn - Nyere bad - Behov for noe oppussing - TV/Internett inkl. - God beliggenhet,Notar,1,0,0,0,0,0,0,0,60,2.0,0,1,0
"Bjørn Farmanns gate 7, 0271 Oslo",12900000.0,303000.0,341640.0,13544640.0,13544640.0,Leilighet,Selveier,3,145.0,145,4,1893,G - rød,Flott 6-roms hjørneleilighet med sjel og suveren beliggenhet i trafikkstille gate - Balkong - Oppgradert 2018/20,PrivatMegleren,1,0,0,0,0,0,0,0,128,1.0,0,0,1
"Grønvoll allé 24, 0661 Oslo",6800000.0,0.0,179020.0,6979020.0,3480.0,Leilighet,Selveier,3,82.0,82,1,2018,D - mørkegrønn,Rålekker 4-roms endeleilighet fra 2018 med solrik markterrasse på 16 kvm og garasjeplass! 2 bad! Lave felleskostnader!,EIE eiendomsmegling,0,0,1,0,0,0,0,0,3,17.0,0,0,1
"Rathkes gate 16C, 0558 Oslo",6350000.0,130062.0,8009.0,6488071.0,6488071.0,Leilighet,Andel,2,71.0,71,2,1903,G - oransje,"Ærverdig og påkostet 3(4)-roms med balkong. Rosett og stukkatur. Kjøkken -21! Peis. Flott bakgård, Felles takterasse!",Schala & Partners,1,0,0,0,0,0,0,0,118,2.0,0,1,0
"Rathkes gate 12C, 0558 Oslo",5990000.0,6945.0,165570.0,6162515.0,6162515.0,Tomannsbolig,Selveier,1,99.0,99,1,1898,C - rød,Stilig halvpart av opprinnelig stallbygg som er ombygd i 2007. Uteplass og gulvvarme. Tilbaketrukket i indre gårdsrom.,PrivatMegleren,0,0,0,0,0,0,0,0,123,20.0,0,0,1
"Havreveien 22, 0680 Oslo",3500000.0,105000.0,15526.0,3620526.0,3620526.0,Leilighet,Andel,1,57.0,57,3,1958,D - gul,Svært lys og innbydende 2-roms toppleilighet | Vestvendt solrik balkong | Varmtvann og fyring inkludert!,Nordvik,1,0,0,0,0,0,0,1,63,19.0,0,1,0
"Skovveien 18A, 0257 Oslo",7490000.0,121021.0,199912.0,7810933.0,7810933.0,Leilighet,Selveier,2,82.0,82,5,1894,G - oransje,Meget attraktiv 3-roms toppleilighet med populær beliggenhet. Solrik terrasse. Takhøyde 3.81m. Gulvareal 92 kvm. Peis.,Nordvik,0,0,0,0,0,0,0,1,127,2.0,0,0,1
"Ensjøveien 6A, 0655 Oslo",7950000.0,0.0,9376.0,7959376.0,5977.0,Leilighet,Andel,3,103.0,103,3,2008,D - mørkegrønn,"Lekker 4-roms hjørneleilighet med hybel, solrik balkong og garasjeplass med elbil-lader. Oppvarming og varmtvann inkl.",Krogsveen,1,0,1,0,0,0,0,0,13,17.0,0,1,0
"Ensjøveien 4, 0655 Oslo",3190000.0,5740000.0,81159.0,9011159.0,9011159.0,Leilighet,Andel,4,87.0,87,4,2021,D - mørkegrønn,Ny 4-roms toppleilighet med 2 balkonger | 2 bad | Garasjeplass | Ferdigstilles Q3/Q4 2023 | Salg av kontraktsposisjon,Schala & Partners,1,0,1,0,0,0,0,1,0,17.0,0,1,0
"Strømsveien 20, 0657 Oslo",2400000.0,0.0,8032.0,2408032.0,1205.0,Leilighet,Andel,0,15.0,15,4,1933,G - rød,Nyoppusset 1-roms (2021) med gulvvarme | Mye lagringsplass | Sentral beliggenhet | Ingen forkjøpsrett | Lave kostnader,Nordvik,0,0,0,0,0,0,0,0,88,1.0,0,1,0
"Nobels gate 1B, 0273 Oslo",5190000.0,0.0,141292.0,5331292.0,2786.0,Leilighet,Selveier,1,52.0,52,3,1953,D - rød,Lekker & oppusset (-21) 2-roms toppleil. m/utsikt mot Frognerkilen | Solrik balkong & felleshage | Parkering e/liste,PrivatMegleren,1,1,0,0,1,1,0,0,68,15.0,0,0,1
"Gangstuveien 12, 0952 Oslo",3500000.0,69000.0,1132.0,3570132.0,3570132.0,Leilighet,Andel,2,72.0,74,6,1959,G - mørkegrønn,"3(4)-roms hjørneleil. m/balkong på ca. 7,5 kvm|Familievennlig beliggenhet |Varmtvann og fyring inkl.| INGEN FORKJØPSRETT",Ukjent,1,0,0,0,0,0,0,0,62,3.0,0,1,0
"Haugerudveien 84, 0674 Oslo",3130000.0,251000.0,15554.0,3396554.0,3396554.0,Leilighet,Andel,1,54.0,59,8,1967,D - mørkegrønn,Pent oppusset og stor 2-roms hjørneleilighet - Balkong med utsikt - Fyring og varmtvann inkludert! - Rett ved marka,PrivatMegleren,1,1,0,0,0,0,0,0,54,17.0,0,1,0
"Grusveien 40, 1158 Oslo",4200000.0,221000.0,8626.0,4429626.0,4429626.0,Leilighet,Andel,2,64.0,66,4,1963,F - mørkegrønn,"Nyoppusset, meget pen 3-roms topp- og endeleilighet med solrik balkong. Bad fra 2014 og sentral, vestvendt beliggenhet.",Ukjent,1,0,0,0,0,0,0,0,58,8.0,0,1,0
"Guristuveien 83H, 0690 Oslo",4800000.0,0.0,1164.0,4801164.0,3088.0,Leilighet,Andel,2,66.0,70,2,2006,E - mørkegrønn,Meget pen 3-roms leilighet fra 2006 m/flott balkong på 8 m²- Garasjeplass m/opplegg for elbil lader - Heis - Attraktivt,Eiendomsmegler 1,1,0,1,1,0,0,0,0,15,12.0,0,1,0
"Ravnkollbakken 20, 0971 Oslo",2900000.0,443000.0,8626.0,3351626.0,3351626.0,Leilighet,Andel,3,88.0,100,8,1972,F - rød,Utsiktleilighet! Gjennomgående og lys 4-roms i toppetasje! Innglasset balkong på 12 kvm. Bad fra 20/21.Heis,Ukjent,1,1,0,1,0,0,0,0,49,6.0,0,1,0
"Ringgata 2A, 0577 Oslo",3990000.0,254000.0,12620.0,4256620.0,4256620.0,Leilighet,Aksje,1,51.0,51,5,1940,G - lysegrønn,Stilig 2-roms toppleilighet med vestvendt balkong og spesielt god intern beliggenhet! Bad fra 2013 og V.v og fyring inkl,Ukjent,1,0,0,0,0,0,0,1,81,4.0,1,0,0
"Bentsebrugata 13B, 0476 Oslo",4700000.0,0.0,118874.0,4818874.0,2905.0,Leilighet,Selveier,3,56.0,59,2,1952,E - mørkegrønn,Pen 3-roms leilighet over 2 plan med sentral beliggenhet på Torshov - Balkong - Oppgradert 2021 - Hjørneleilighet,Eiendomsmegler 1,1,0,0,0,0,0,0,0,69,12.0,0,0,1
"Innspurten 4B, 0663 Oslo",3360000.0,1837000.0,1132.0,5198132.0,5198132.0,Leilighet,Andel,2,66.0,67,1,2007,E - mørkegrønn,"Tiltalende og lys 3-roms hjørneleil. med terrasse på 26 kvm. - Garasje m/lader - Heis - Strøm, fyring og v.vann inkl.",Nordvik,0,0,1,1,0,0,0,0,14,12.0,0,1,0
"Sandakerveien 22 B, 0473 Oslo",7690000.0,0.0,201269.0,7891269.0,4339.0,Leilighet,Selveier,2,83.0,83,3,2012,F - oransje,Lys og romslig 3(4)-roms endeleilighet fra 2012 | 2 store balkonger | Heis | Garasjeplass | Fyring/Vv. inkl. |,Schala & Partners,1,0,1,1,0,0,0,0,9,7.0,0,0,1
"Hesselbergs gate 8 A, 0555 Oslo",3100000.0,182761.0,1167.0,3283928.0,3283928.0,Leilighet,Andel,1,30.0,30,2,1898,F - gul,GRÜNERLØKKA: Lys og luftig med praktisk alkove. Nyoppusset bad fra 2019. Supersentral beliggenhet!,BOA Eiendomsmegling,0,0,0,0,0,0,0,0,123,10.0,0,1,0
"Veitvetveien 11, 0596 Oslo",3850000.0,204321.0,1132.0,4055453.0,4055453.0,Leilighet,Andel,3,86.0,86,2,1955,F - oransje,Flott 4-roms rekkehusleil. o/2 plan|Balkong på ca. 8 kvm med gode solforhold| Barnevennlig og god intern beliggenhet|,Ukjent,1,0,0,0,0,0,0,0,66,7.0,0,1,0
"Enebakkveien 205, 0680 Oslo",15990000.0,0.0,415770.0,16405770.0,2010.0,Tomannsbolig,Selveier,8,240.0,246,1,1952,G - rød,Hel horisontaldelt tomannsbolig med moderniseringsbehov - 4 etg. - Garasje - Stor og solrik tomt - Fin beliggenhet,EIE eiendomsmegling,0,0,1,0,0,0,0,0,69,1.0,0,0,1
"Elgtråkket 126, 1270 Oslo",8000000.0,0.0,201372.0,8201372.0,1157.0,Enebolig,Selveier,6,190.0,231,1,1988,E - mørkegrønn,Påkostet enebolig over 3 plan med dobbelgarasje. Solrike uteplasser. Egen inngang i kjeller. Skjermet og barnevennlig!,Notar,0,0,1,0,0,0,0,0,33,12.0,0,0,1
