Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,Faciliteter
"SKIPARVIKLIA 11, 5221 Nesttun",5 500 000 kr,24 000 kr,5 524 000 kr,2 500 kr,-1,Leilighet,Eier (Selveier),2,69 m²,72 m²,3,2021,A,Ny Leilighet ved Nordåsvannet med solrik sydvest beliggenhet,-1,
"Bjørnsons gate 28 B, 5059 Bergen",890 000 kr,549 927 kr,12 744 kr,1 452 671 kr,4 343 kr,Leilighet,Aksje,18 m²,18 m²,4,1933,477 m² (eiet),-1,"Kronstad - Lekker, nyoppusset studioleilighet. Rett ved HVL, butikk og Bybanen.",-1,
"Nygårdsgaten 68, 5008 Bergen",3 190 000 kr,8 032 kr,3 198 032 kr,2 471 kr,-1,Leilighet,Andel,2,42 m²,45 m²,5,1890,-1,"Rålekker toppleilighet med egen hems. Fasade (2014), taktekking (2018) og innvendige kvaliteter oppgradert (2019)",PrivatMegleren Vikebø & Jørgensen,-1
"Dag Hammarskjölds vei 55, 5144 Fyllingsdalen",2 550 000 kr,444 207 kr,8 032 kr,3 002 239 kr,5 230 kr,Leilighet,Andel,2,67 m²,70 m²,4,1966,G - rød,"Flott 3-roms toppleilighet med egen garasje- vestvendt balkong på 12,8 m² - Ingen dok.avgift eller forkjøpsrett",Nordvik Bergen,
"Grønnegata 7, 0350 Oslo",4 800 000 kr,93 880 kr,131 962 kr,5 025 842 kr,2 715 kr,Leilighet,Eier (Selveier),1,43 m²,43 m²,6,1975,E - rød,"HOMANSBYEN - Tiltalende 2-roms selveierleilighet - Solrik balkong - Garasjeplass - Heis - Sentral, men rolig beliggenhet",Nordvik Bygdøy Allé,
"Trollringen 96C, 9016 Tromsø",4 070 000 kr,73 401 kr,110 320 kr,4 253 721 kr,5 019 kr,Leilighet,Eier (Selveier),2,72 m²,76 m²,3,1995,-1,Stilfull og moderne 3-roms toppetasje med garasje i et av Tromsøs mest populære områder.,GARANTI Eiendomsmegling Tromsø,
"Laboratorieveien 10, 3077 Sande i Vestfold",4 150 000 kr,11 996 kr,105 440 kr,4 267 436 kr,2 061 kr,Leilighet,Eier (Selveier),2,64 m²,67 m²,3,2010,D - mørkegrønn,Meget pen hjørneleilighet med flott sjøutsikt|2 Balkonger|Solrikt|2 soverom|God intern beliggenhet|Garasje,EiendomsMegler 1 Drammen,
"Storestraumen 220, 5212 Søfteland",2 090 000 kr,2 769 kr,63 842 kr,2 156 611 kr,1 431 kr,Leilighet,Eier (Selveier),1,40 m²,45 m²,1,2015,D - mørkegrønn,Søfteland | Moderne 2-roms leilighet- parkering i garasje - populær beliggenhet i Storestraumen - endeleilighet,PrivatMegleren Vikøyr & Brandt,-1
"Bjørkelivegen 11A, 4708 Vennesla",1 995 000 kr,58 312 kr,2 053 312 kr,600 kr,10 027 kr per år,Leilighet,Eier (Selveier),2,63 m²,68 m²,1,2014,-1,Vennesla/Vikeland - Flott 3-roms endeleilighet - solrikt uteområde - Carport - Barnevennlig,-1,-1
"Schultz gate 8, 7013 Trondheim",3 190 000 kr,21 472 kr,81 440 kr,3 292 912 kr,2 206 kr,Leilighet,Eier (Selveier),1,36 m²,36 m²,2,1902,F - rød,Pen & sjarmerende 2-roms selveier i hjertet av sentrum | Kjøkken & bad (2007) TG1 | Balkong & takterrasse | Heis!,EiendomsMegler 1 avd. Trondheim Sentrum,
