Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Gamle Stadion K7-K8, 1610 Fredrikstad",3 750 000 kr,-1,-1,-1,-1,53 - 95 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Gamle Stadion - 39 nye, lyse & attraktive selveierleiligheter - siste byggetrinn!",DNB Eiendom AS
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Bogstadveien 9A, 0355 Oslo",2 790 000 kr,81 292 kr,2 871 292 kr,2 115 kr,-1,Leilighet,Eier (Selveier),22 m²,22 m²,3,1937,F - mørkegrønn,-1,,Lys og flott 1-roms selveier med meget attraktiv beliggenhet på Majorstuen - Fyring & v.vann inkl. - Balkong - Heis,PrivatMegleren Park
"Børresens veg 4E, 2615 Lillehammer",2 675 000 kr,68 040 kr,2 743 040 kr,2 367 kr,11 443 kr per år,Leilighet,Eier (Selveier),1,44 m²,47 m²,2,2012,C - rød,,"Lekker og tiltalende selveierleilighet med garasjeplass, vestvendt balkong og bod. Sentrumsnær beliggenhet!",EiendomsMegler 1 Lillehammer
"Sæbøvika 19, 5590 Etne",1 950 000 kr,648 202 kr,8 060 kr,2 606 262 kr,7 811 kr,Leilighet,Andel,3,97 m²,100 m²,2,2003,C - oransje,-1,Tiltalende 4-romsleilighet med fjorden som nærmeste nabo - garasje og båtplass!,PrivatMegleren Østbø & Kaldheim
"Konows gate 15D, 0196 Oslo",3 400 000 kr,826 000 kr,8 032 kr,4 234 032 kr,9 129 kr,Leilighet,Andel,1,48 m²,52 m²,2,2006,E - rød,,Lys 2-roms med vestvendt balkong - Garasjeplass - Egen ytterdør - Rekkehusfølelse - TA KONTAKT FOR PRIVATVISNING,Nordvik Bislett
"Ole Kyllingstads veg 4, 4350 Kleppe",2 590 000 kr,52 631 kr,65 920 kr,2 708 551 kr,2 023 kr,Leilighet,Eier (Selveier),2,65 m²,68 m²,3,2006,C - rød,-1,Velholdt leilighet med 2 soverom - midt i Kleppekrossen. Lukket parkering.,EiendomsMegler 1 Jærmegleren
"Rektorhaugen 35, 0876 Oslo",5 500 000 kr,329 000 kr,1 132 kr,5 830 132 kr,4 762 kr,Leilighet,Andel,2,69 m²,69 m²,1,1960,F - mørkegrønn,,"Gj. gående, hjørne- og endeleilighet med vestvendt balkong | Felles hage | Fyring & V.v inkl. i FK | Moderniseringsbehov",Krogsveen avd. Majorstuen
"Stjørdalsveien 17, 7066 Trondheim",4 890 000 kr,123 420 kr,5 013 420 kr,2 740 kr,26 996 kr per år,Leilighet,Eier (Selveier),2,72 m²,76 m²,4,2017,C - mørkegrønn,,Attraktiv 3-roms hjørneleilighet - Sørvendt veranda på 20 kvm - Ingen innsyn - Fjernvarme - Heis - P-plass m/ladepunkt,EiendomsMegler 1 avd. Lerkendal
"Tante Ulrikkes vei 34A, 0984 Oslo",2 850 000 kr,627 144 kr,1 132 kr,3 478 276 kr,6 161 kr,Leilighet,Andel,2,73 m²,73 m²,2,1968,F - rød,,"Romslig og pen 3-roms leilighet i 2. etg| Vestvendt balkong på ca. 8,5 kvm | Bad 2019 | Garasjeplass",-1
"Olav Magnussons veg 6, 7046 Trondheim",3 155 483 kr,-1,-1,-1,-1,50 - 86 m²,2 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,Nye Valentinlyst | 50 nye leiligheter med attraktiv beliggenhet | Heis | P-kjeller |Over 50% solgt! Innflytting 2022,EiendomsMegler 1 Prosjekt Trondheim
"Fjordgata 1 B, 7300 Orkanger",1 650 000 kr,137 000 kr,8 032 kr,1 795 032 kr,3 793 kr,Leilighet,Andel,41 m²,41 m²,2002,E - oransje,Eiet,-1,-1,Praktisk leilighet i et lite og koselig borettslag på vakre Nerøra. Garasje. Pent boligtun.,Aktiv Orkla
"Trevaren 3, 1389 Heggedal",4 999 000 kr,133 990 kr,5 132 990 kr,3 727 kr,-1,Leilighet,Eier (Selveier),2,76 m²,79 m²,2,2020,B - mørkegrønn,,"Ny 3-roms leilighet med to bad, høy standard, og stor solrik terrasse. Tre min. til tog/ buss.",EIE eiendomsmegling Asker
"Astraveien 44, 4021 Stavanger",2 590 000 kr,258 900 kr,8 626 kr,2 857 526 kr,4 338 kr,Leilighet,Andel,2,85 m²,89 m²,3,1979,E - rød,,Flott og innholdsrik leilighet i 3 etasje med god planløsning. En balkong og en terrasse. Parkering i lukket garasje.,Krogsveen avd. Stavanger
"Michael Krohns gate 49, 5057 Bergen",4 290 000 kr,115 492 kr,4 405 492 kr,2 139 kr,11 930 kr per år,Leilighet,Eier (Selveier),2,66 m²,69 m²,6,2014,C - mørkegrønn,,"Nydelig leilighet med to soverom, høy standard, balkong med ettermiddagssol og heis i bygget. Attraktiv beliggenhet!",Proaktiv Sandviken
"Solveien 11 D, 4879 Grimstad",1 750 000 kr,24 996 kr,1 774 996 kr,3 258 kr,-1,Leilighet,Andel,2,62 m²,63 m²,2,1973,E - rød,-1,"BUD MOTTATT! Groosåsen - Flott leilighet med 2 soverom, stor veranda og garasje! Kort gangvei til UiA og sentrum!",Privatmegleren Arendal
"Kystveien 22, 4841 Arendal",4 100 000 kr,113 870 kr,4 213 870 kr,2 426 kr,15 759 kr per år,Leilighet,Eier (Selveier),2,76 m²,76 m²,2,2017,C - mørkegrønn,,"Eksklusiv selveierleilighet med heis, garasjeplass og solrik utsiktsterrasse - Barbu Brygge",-1
"Solbakken 43C, 6429 Molde",1 540 000 kr,176 207 kr,8 062 kr,1 724 269 kr,4 705 kr,Leilighet,Andel,1,63 m²,68 m²,7,1971,E - rød,,Romslig 3-roms leilighet - vestvendt balkong med kveldssol - parkering i felles garasjeanlegg - heis,-1
"Ljosheimvegen 6-8, 4735 Evje",2 510 000 kr,-1,-1,-1,-1,63 - 96 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Ljosheim - Prosjekterte, solrike leiligheter i sentrum - gjennomgående og med balkonger - p-plass/bod i kjeller - heis",-1
"Eplehagan, 3084 Holmestrand",3 828 000 kr,-1,-1,-1,-1,102 - 107 m²,3,Leilighet,Eier (Selveier),B - rød,-1,-1,-1,-1,Ekeberg Hage - Nye 5- roms leiligheter nær Holmestrand sentrum. Garasjeplass og barnevennlig område,Trysilhus Sørøst AS
"Kalbakkstubben 24, 0951 Oslo",2 750 000 kr,98 000 kr,15 554 kr,2 863 554 kr,2 957 kr,Leilighet,Andel,1,30 m²,37 m²,4,1956,F - lysegrønn,,Etterspurt beliggenhet! 2 roms toppleilighet. 7 kvm balkong med fantastisk utsikt! Kort vei til t-bane/buss og butikker.,-1
"Frøyas vei 18, 1782 Halden",750 000 kr,428 049 kr,1 178 049 kr,4 134 kr,-1,Leilighet,Andel,48 m²,59 m²,1,1978,D - rød,-1,-1,2-roms leilighet- innglasset balkong -semtrumsnært,-1
"Steinsvikvegen 2, 5251 Søreidgrend",4 990 000 kr,136 746 kr,5 126 746 kr,2 068 kr,16 557 kr per år,Leilighet,Eier (Selveier),3,87 m²,90 m²,3,2019,B - rød,,"Nytt, eksklusivt og deilig, med stor takterrasse og garasje med heis til leiligheten.",Proaktiv Småstrandgaten
"Herslebs gate 4C, 0561 Oslo",4 500 000 kr,274 853 kr,1 164 kr,4 776 017 kr,4 270 kr,Leilighet,Andel,2,52 m²,52 m²,4,1896,G - rød,,"Gjennomgående, lys og pen 3-roms andelsleilighet. Meget populært og urbant område på Grünerløkka. Ingen forkjøpsrett.",EiendomsMegler 1 Oslo Sentrum
"Myrvegen 62, 2052 Jessheim",3 475 000 kr,65 441 kr,1 132 kr,3 541 573 kr,4 050 kr,Leilighet,Andel,2,69 m²,72 m²,2,2008,D - rød,,"Tiltalende og romslig 3-roms i 2. etasje med balkong, heis og garasjeplass | Felles trimrom og spa avd. | Sentrumsnært!",-1
"Nordstrandveien 32 C, 1163 Oslo",7 950 000 kr,207 528 kr,8 157 528 kr,2 730 kr,-1,Leilighet,Eier (Selveier),2,90 m²,90 m²,2,1923,-1,,"NORDSTRAND: Klassisk, lys og luftig 3-roms leilighet med 5kvm terrasse. Oppusset 2014/2019. Parkeringsplass m/el.",Boa Eiendomsmegling Oslo Øst
"Gartnerkvartalet hus 8, Villvin boligsameie Lørenvangen 23 B, leil. 8606, 0585 Oslo",6 200 000 kr,-1,-1,-1,-1,55 m²,57 m²,2,3,Leilighet,Eier (Selveier),H0601,D - mørkegrønn,-1,Løren - Helt ny 3-romsleilighet med sydvendt balkong mot midtparken *overtagelsesklar *lave omkostninger *toppetasje,OBOS BBL
"Smiestubben 3, 4027 Stavanger",2 100 000 kr,380 635 kr,8 626 kr,2 489 261 kr,6 530 kr,Leilighet,Andel,2,63 m²,66 m²,2,2003,D - rød,,Pen og oppusset 3- romsleilighet med god planløsning og sentral beliggenhet. Parkeringsplass i lukket anlegg og heis.,-1
"Lossiusvegen 24C, 7045 Trondheim",4 850 000 kr,130 270 kr,4 980 270 kr,2 000 kr,20 108 kr per år,Leilighet,Eier (Selveier),3,106 m²,106 m²,1,1936,B - rød,-1,Særdeles tiltalende og rehabilitert selveierleilighet på to plan med et bruksareal på 106 kvm.,EIE eiendomsmegling Trondheim
"Havreveien 9, 0680 Oslo",3 300 000 kr,113 000 kr,15 554 kr,3 428 554 kr,4 005 kr,Leilighet,Andel,2,58 m²,58 m²,2,1960,C - gul,,3-roms hjørneleilighet med 11 kvm balkong. 2. etg med heis! Trenger oppussing med unntak av utvidet bad. Vv/fyr inkl.,-1
"Hagegata 1A, 0577 Oslo",3 150 000 kr,26 292 kr,1 132 kr,3 177 424 kr,2 322 kr,Leilighet,Andel,1,40 m²,40 m²,2,1903,G - rød,,Oppussingsobjekt m/stor potensiale!|2-R m/god takhøyde & store vindusflater|Stukkatur & rosett|Lave F.K|Ingen forkjøp!,-1
"Michael Krohns gate 75, 5057 Bergen",2 890 000 kr,73 420 kr,2 963 420 kr,1 456 kr,8 400 kr per år,Leilighet,Eier (Selveier),1,38 m²,42 m²,6,2013,B - mørkegrønn,,"Flott 2-roms i moderne bygg med privat balkong, felles takterrasse, og heis. 15 min gange til sentrum.",-1
"Siriskjeret 36, 4014 Stavanger",3 690 000 kr,93 592 kr,3 783 592 kr,2 286 kr,5 365 kr per år,Leilighet,Eier (Selveier),2,70 m²,73 m²,3,2013,C - mørkegrønn,,Moderne 3-romsleilighet med sentral beliggenhet - 2 soverom - parkering i garasje - Nærhet til sjøen!,-1
"Sandakerveien 10R, 0473 Oslo",3 990 000 kr,369 252 kr,8 032 kr,4 367 284 kr,5 489 kr,Leilighet,Andel,1,46 m²,49 m²,3,1936,F - mørkegrønn,,Sjarmerende og solfylt 2-roms uten innsyn og idyllisk beliggenhet mot Akerselva - Moderne bad og kjøkken - Må sees!,-1
"Sognsveien 46, 0851 Oslo",12 500 000 kr,42 629 kr,8 032 kr,12 550 661 kr,4 317 kr,Leilighet,Andel,2,104 m²,104 m²,2,1920,G - oransje,,"Lys og innbydende bolig over to plan og hems. Skjermet, frodig og solrik hageparsell. Felles balkong. To komplette bad.",-1
"Lørenvangen 23C, 0585 Oslo",4 290 000 kr,116 892 kr,4 406 892 kr,2 432 kr,-1,Leilighet,Eier (Selveier),1,42 m²,42 m²,4,2019,-1,,"Helt ny og svært pen 2-roms i Gartnerkvartalet med solrik balkong, høy standard, vannbåren varme og flotte fellesarealer",-1
"Busterudkleiva 60 ABCD, 1782 Halden",3 400 000 kr,-1,-1,-1,-1,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,-1,4 nyoppførte leiligheter på Brødløs! 3 soverom. Aircondition. Carport. Ingen fellesutgifter,Aktiv Halden
"Breidablikkbakken 3, 3911 Porsgrunn",2 590 000 kr,795 761 kr,8 032 kr,3 393 793 kr,6 396 kr,Leilighet,Andel,2,87 m²,95 m²,3,1983,F - rød,,Romslig terrasseleilighet med fantastisk utsikt og nydelige solforhold - Stor terrasse - 2 gode soverom - Garasje,PrivatMegleren Telemark
"Løren botaniske, hus 5, Hagehumla borettslag, salgstrinn 1, Peter Møllers vei 8-14, 0585 Oslo",1 260 000 kr,-1,-1,-1,-1,39 - 88 m²,1 - 3,Leilighet,Andel,C - mørkegrønn,-1,-1,-1,-1,"Løren botaniske hus 5, salgstrinn 1. Sydvendte leiligheter med balkong, felles takterrasse og utsikt til park",OBOS BBL
"Fayes gate 18, 0455 Oslo",3 950 000 kr,39 638 kr,5 232 kr,3 994 870 kr,2 094 kr,Leilighet,Andel,1,37 m²,37 m²,2,1919,-1,,LINDERN HAGEBY - Lys og lekker 2-roms leilighet - lave fellesutgifter - lave omkostninger,Propr.no
"Totlandsvegen 80D, 5226 Nesttun",4 250 000 kr,107 592 kr,4 357 592 kr,1 465 kr,10 748 kr per år,Leilighet,Eier (Selveier),3,75 m²,78 m²,4,2019,B - gul,,Lekker og moderne eierleilighet fra 2019 | 4. Etg - 3 soverom - med heis & garasjeplass! | Solrik balkong med utsikt.,Krogsveen avd. Fana
