Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fasiliteter,Beskrivelse,Eiendomsmegler
"Åmotveien 9, 0880 Oslo",20 000 000 kr,-1,-1,-1,-1,148 - 150 m²,3,Enebolig,Eier (Selveier),-1,-1,-1,-1,-1,"KORSVOLL - To moderne energi- og familievennlig eneboliger med høy standard, garasjer, hage og solfylte uteplasser.",PrivatMegleren Panorama
"Vesteråsveien 12, 0382 Oslo",18 750 000 kr,-1,-1,-1,-1,195 - 223 m²,3,Enebolig,Eier (Selveier),-1,-1,-1,-1,-1,Ullernåsen- 2 SOLGT. 5 eneboliger med utsikt og solrik markterrasse/hage- 2 garasjepl.- peis - kjeller m/ egen inngang.,PrivatMegleren Dyve & Partnere - Prosjekt
"St. Halvards gate 25E, 0192 Oslo",3 850 000 kr,76 000 kr,3 926 000 kr,3 964 kr,3 964 kr,Leilighet,Eier (Selveier),1,48 m²,48 m²,1940,E - gul,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""207557d2-c3d2-40ba-9bcd-36002b95d299"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""6d8c6afd-6922-4675-94ad-9f9992a8c9ff"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""08482c38-f38c-4b76-a761-fc857b0504fa"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""cb5571f5-4ae9-4254-a230-b4aba14a7ad9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""0cb5cd07-3599-40ad-98dc-a92b800293b1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""2b4f77ce-85a0-4360-a659-02bde7b39f4a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""8fa2d61c-f53d-46fa-8cdd-a71e492e1f53"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""12be7e8f-7566-4ca4-b994-caa27f369e33"")>]",Lys og lekker leilighet med solrik balkong. God planløsning med sentral beliggenhet. Parkering. Heis.,Aktiv Grønland/Bjørvika
"Selvbyggerveien 143, 0591 Oslo",3 200 000 kr,73 058 kr,8 009 kr,3 281 067 kr,3 281 067 kr,Leilighet,Andel,1,35 m²,37 m²,1,1953,G - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""926942e7-159a-4b3c-bf0b-401e455cbbe9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""8c130252-8461-49d5-abb0-a221c8313be0"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""8ff6a2ac-a4ce-4df7-ab26-f6dc64516a55"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""c4a54149-92d5-45f1-81ca-004216a22a01"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""c4b37284-775b-4b64-b5f1-7868cffbf498"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""c93d5d01-0f11-4197-851e-13cc8c277bcc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""03bad84e-06f2-4169-8f10-23652095378a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""21d7cf4d-c0ae-4139-9fbb-92565c87ebab"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""72b1c341-1060-4778-92f0-f9a572c2de2c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""48fb4915-f53b-4627-b710-b533632ba6d6"")>]",Romslig og attraktiv 2-roms | Hyggelig utsikt | Varmtvann & fyring inkl i felleskostnader | Garasjeplass*,Schala & Partners Årvoll
"Gregers Grams vei 6C, 0382 Oslo",18 250 000 kr,471 920 kr,18 721 920 kr,2 167 kr,2 167 kr,Enebolig,Eier (Selveier),4,208 m²,242 m²,2016,B - gul,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""356dbb00-3485-4bb3-92fc-675de2c25ebd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""fb720e27-fcc4-4e63-9b30-16e57fa325f8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""3e86debd-c1fa-4920-8aac-bf9250a770db"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""4ce245e3-a49a-4e50-b179-3b7ecc218359"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""4085e265-06f2-4118-99ce-261e7b9b49e9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""81d5d3cb-1ae8-4f4c-b74e-9f266d79c117"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""2cdb90ec-efd0-4739-ad7d-2e6769f41e96"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""8c76a421-e459-4f65-bf25-37b94d49d4ba"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""91e5b22c-f2d7-4bf7-be68-40aa9e0b05f6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""bdb3549e-bd74-47e3-8548-13972cc1f631"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""af2d5070-694f-4247-9a3b-35edc4c5c6c3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""634975be-5eb6-4d34-a730-d01e275f2b9e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""b489fb70-63d5-430d-899b-26de210ee0cd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""2c1b7f2e-bfd6-4778-a806-9b71a0a6cf2e"")>]","Tiltalende og moderne kjedet enebolig m/ takterrasse og hage/markterrasse. Solrikt, praktikantdel og garasje.",PrivatMegleren Dyve & Partnere
"Brochmanns gate 7, 0470 Oslo",4 600 000 kr,101 699 kr,127 039 kr,4 828 738 kr,4 828 738 kr,Leilighet,Eier (Selveier),2,54 m²,54 m²,4,1958,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""978fce6d-4d73-4c2a-a76d-9cd72d9ff8d5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""375c9374-8254-4a3f-9a44-3113575387d6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""40fc5c63-98d0-4cd8-b8f7-2fc5589848ea"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""576dd2a9-0ee9-4b7c-9188-c32fa9903187"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""f90da55e-cc11-4425-a1a6-8b6e01e0e7cc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""b192ceba-d65e-45ed-9de7-be5d973a6a31"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""4f2c70b2-a9a8-4198-8354-fa74f38a9691"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""dd1487ea-4428-44dd-b5bd-cd3ae9063c00"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""70283279-ef21-4b73-98f9-fc0b374a1932"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""fc85a46b-fcec-4a87-bb23-b67e2501ec59"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""9a4a8559-20cc-4b66-a7b1-1b3e143bd1c5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""808df348-ffe1-4449-ab8d-cd07982b90df"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""da8c3154-050a-48b0-b4aa-556c66a1de61"")>]","Lys og pen 3-R selveier med nydelig balkong I God standard fra 2017 I Heis I Lave felleskost. inkl. ""alt""",Schala & Partners Sagene
"Messepromenaden 10, 0279 Oslo",7 700 000 kr,193 842 kr,7 893 842 kr,3 237 kr,3 237 kr,Leilighet,Eier (Selveier),2,65 m²,72 m²,5,2005,C - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""ba3a3c69-630a-4f14-893e-8906f22945cb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""055e17f0-ea21-4099-a3e3-121c2b76eb58"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""7acd361b-7284-4532-abaa-1258ff0b3a3d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""065cbc95-51e1-45a9-8172-a2c0626606fe"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""f120806e-f7d0-4cc6-947f-7fd75b1c1dea"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""b6d8403d-fcd0-403b-bc3c-ae6d1495c31a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""3bddbe4d-b687-4d07-9242-b58c27e20b0a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""ea9ec337-5e29-4ca5-8173-9005bc559f4d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""44d9f68a-d118-40f9-9684-ac3ff5a23282"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""24c12e84-9cbd-4954-bcad-58867c28725a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""45f71e94-92da-4cad-8042-0d45ea56209f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""0e8b66d4-7f3c-4d81-871f-92085ef52eb3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""33737fce-f1d0-4cd7-ac9e-89286befa7ab"")>]",Herlig selveier midt i hjertet av Skøyen. 5. etasje - Balkong - Heis - V.v. & f. inkl - Garasje - Godt med lagring.,-1
"Ensjøveien 34, 0661 Oslo",11 550 000 kr,-1,-1,-1,-1,104 m²,108 m²,3,4,4.,1,Leilighet,-1,-1,"Ensjølyst|Rålekker toppleilighet med privat takterrasse på 24 kvm + balkong|Oppholdsrom på hele 49,5 kvm m/kjøkkenøy|2 bad|Meget god beliggenhet mot parkdrag|Estimert ferdig Q4 2022/Q1 2023",Røisland & Co Eiendomsmegling AS
"Kantarellen terrasse 15, 1286 Oslo",2 590 000 kr,216 310 kr,8 658 kr,2 814 968 kr,2 814 968 kr,Leilighet,Andel,1,59 m²,59 m²,-1,1990,F - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""3c6a81bf-2b0d-40d9-a880-a5a7edef51e8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""719eb8ff-825c-4af6-b52c-0a2db9c6bc57"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""7bb9e6e9-1f50-4ac3-9f5a-f78bfbb1f48c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""2a9544b7-c4f3-4486-9570-4c3c7c4dacb4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""7204f906-ece6-4540-9425-84ea91125530"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""00e476ef-fc9f-437f-8c6f-41bee30160e8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""9facd2e8-fb02-4dc5-9582-1d1b311213f7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""ea36f60f-ab8f-4846-ad9b-b6125b892a01"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""d4e9f1f5-b151-41ad-9fa1-b0d96bc2a6f1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""163eb3dc-b780-46bc-b495-a0a64103f068"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""d6086859-2b22-4252-be18-d3543a339595"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""ad193338-387f-40f0-8f5a-22fb54507cc2"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""b6320980-7e56-4a56-be48-533a7f30bc4f"")>]",Stilig 2-roms med bad fra 2019 og garasjeplass! | Stor terrasse på ca 25 kvm| Varmtvann&fyring (A-konto) | IN-ordning,Eiendomsmegler 1 Oslo Syd
"Langes gate 7, 0165 Oslo",6 500 000 kr,174 070 kr,6 674 070 kr,2 348 kr,2 348 kr,Leilighet,Eier (Selveier),2,82 m²,85 m²,1869,G - rød,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""9d7f94a8-7dba-4df5-a1aa-45fc6b387bc7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""629b7ba6-53aa-4dc9-a3a4-687ba9391098"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""3a4f7393-d80d-409d-885b-f7674fd03e6b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""fb7f006b-f763-4e2d-b761-8bdd96297aac"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""2f132b5b-64d0-4f77-bd48-e61cc8fe5442"")>, <selenium.webdriver.remote.webelement.WebElement (session=""9ce22814a60a77b5a798b47325bef63f"", element=""c69e3d08-135c-4aa7-989b-8eccaef79e7a"")>]","Klassisk, gjennomgående og sentrumsnær 3-roms leilighet med peis, stukkatur og rosett. Generøs takhøyde",Privatmegleren Tjuvholmen
